Date_Time,Date,Time,Temp,Plot
9/25/21 22:00,9/25/21,10:00:00 PM,10.1,Plot 1
9/25/21 22:30,9/25/21,10:30:00 PM,9.6,Plot 1
9/25/21 23:00,9/25/21,11:00:00 PM,9.35,Plot 1
9/25/21 23:30,9/25/21,11:30:00 PM,9.1,Plot 1
9/26/21 0:00,9/26/21,12:00:00 AM,8.6,Plot 1
9/26/21 0:30,9/26/21,12:30:00 AM,8.1,Plot 1
9/26/21 1:00,9/26/21,1:00:00 AM,8.1,Plot 1
9/26/21 1:30,9/26/21,1:30:00 AM,7.85,Plot 1
9/26/21 2:00,9/26/21,2:00:00 AM,7.85,Plot 1
9/26/21 2:30,9/26/21,2:30:00 AM,7.35,Plot 1
9/26/21 3:00,9/26/21,3:00:00 AM,7.1,Plot 1
9/26/21 3:30,9/26/21,3:30:00 AM,6.85,Plot 1
9/26/21 4:00,9/26/21,4:00:00 AM,6.85,Plot 1
9/26/21 4:30,9/26/21,4:30:00 AM,6.6,Plot 1
9/26/21 5:00,9/26/21,5:00:00 AM,6.6,Plot 1
9/26/21 5:30,9/26/21,5:30:00 AM,6.6,Plot 1
9/26/21 6:00,9/26/21,6:00:00 AM,6.6,Plot 1
9/26/21 6:30,9/26/21,6:30:00 AM,6.85,Plot 1
9/26/21 7:00,9/26/21,7:00:00 AM,7.1,Plot 1
9/26/21 7:30,9/26/21,7:30:00 AM,7.35,Plot 1
9/26/21 8:00,9/26/21,8:00:00 AM,7.85,Plot 1
9/26/21 8:30,9/26/21,8:30:00 AM,8.35,Plot 1
9/26/21 9:00,9/26/21,9:00:00 AM,8.6,Plot 1
9/26/21 9:30,9/26/21,9:30:00 AM,9.1,Plot 1
9/26/21 10:00,9/26/21,10:00:00 AM,9.85,Plot 1
9/26/21 10:30,9/26/21,10:30:00 AM,11.6,Plot 1
9/26/21 11:00,9/26/21,11:00:00 AM,13.1,Plot 1
9/26/21 11:30,9/26/21,11:30:00 AM,13.6,Plot 1
9/26/21 12:00,9/26/21,12:00:00 PM,15.85,Plot 1
9/26/21 12:30,9/26/21,12:30:00 PM,16.35,Plot 1
9/26/21 13:00,9/26/21,1:00:00 PM,16.1,Plot 1
9/26/21 13:30,9/26/21,1:30:00 PM,15.85,Plot 1
9/26/21 14:00,9/26/21,2:00:00 PM,16.1,Plot 1
9/26/21 14:30,9/26/21,2:30:00 PM,15.6,Plot 1
9/26/21 15:00,9/26/21,3:00:00 PM,15.6,Plot 1
9/26/21 15:30,9/26/21,3:30:00 PM,17.1,Plot 1
9/26/21 16:00,9/26/21,4:00:00 PM,16.6,Plot 1
9/26/21 16:30,9/26/21,4:30:00 PM,15.6,Plot 1
9/26/21 17:00,9/26/21,5:00:00 PM,15.1,Plot 1
9/26/21 17:30,9/26/21,5:30:00 PM,14.35,Plot 1
9/26/21 18:00,9/26/21,6:00:00 PM,13.1,Plot 1
9/26/21 18:30,9/26/21,6:30:00 PM,12.85,Plot 1
9/26/21 19:00,9/26/21,7:00:00 PM,11.85,Plot 1
9/26/21 19:30,9/26/21,7:30:00 PM,11.1,Plot 1
9/26/21 20:00,9/26/21,8:00:00 PM,10.1,Plot 1
9/26/21 20:30,9/26/21,8:30:00 PM,9.35,Plot 1
9/26/21 21:00,9/26/21,9:00:00 PM,8.35,Plot 1
9/26/21 21:30,9/26/21,9:30:00 PM,8.35,Plot 1
9/26/21 22:00,9/26/21,10:00:00 PM,7.1,Plot 1
9/26/21 22:30,9/26/21,10:30:00 PM,6.6,Plot 1
9/26/21 23:00,9/26/21,11:00:00 PM,6.35,Plot 1
9/26/21 23:30,9/26/21,11:30:00 PM,7.35,Plot 1
9/27/21 0:00,9/27/21,12:00:00 AM,8.1,Plot 1
9/27/21 0:30,9/27/21,12:30:00 AM,7.85,Plot 1
9/27/21 1:00,9/27/21,1:00:00 AM,8.85,Plot 1
9/27/21 1:30,9/27/21,1:30:00 AM,9.1,Plot 1
9/27/21 2:00,9/27/21,2:00:00 AM,9.1,Plot 1
9/27/21 2:30,9/27/21,2:30:00 AM,7.6,Plot 1
9/27/21 3:00,9/27/21,3:00:00 AM,7.6,Plot 1
9/27/21 3:30,9/27/21,3:30:00 AM,7.6,Plot 1
9/27/21 4:00,9/27/21,4:00:00 AM,7.1,Plot 1
9/27/21 4:30,9/27/21,4:30:00 AM,7.1,Plot 1
9/27/21 5:00,9/27/21,5:00:00 AM,6.1,Plot 1
9/27/21 5:30,9/27/21,5:30:00 AM,5.6,Plot 1
9/27/21 6:00,9/27/21,6:00:00 AM,4.85,Plot 1
9/27/21 6:30,9/27/21,6:30:00 AM,4.1,Plot 1
9/27/21 7:00,9/27/21,7:00:00 AM,4.85,Plot 1
9/27/21 7:30,9/27/21,7:30:00 AM,5.6,Plot 1
9/27/21 8:00,9/27/21,8:00:00 AM,6.35,Plot 1
9/27/21 8:30,9/27/21,8:30:00 AM,7.6,Plot 1
9/27/21 9:00,9/27/21,9:00:00 AM,9.1,Plot 1
9/27/21 9:30,9/27/21,9:30:00 AM,10.6,Plot 1
9/27/21 10:00,9/27/21,10:00:00 AM,11.85,Plot 1
9/27/21 10:30,9/27/21,10:30:00 AM,13.85,Plot 1
9/27/21 11:00,9/27/21,11:00:00 AM,14.6,Plot 1
9/27/21 11:30,9/27/21,11:30:00 AM,14.1,Plot 1
9/27/21 12:00,9/27/21,12:00:00 PM,13.6,Plot 1
9/27/21 12:30,9/27/21,12:30:00 PM,12.85,Plot 1
9/27/21 13:00,9/27/21,1:00:00 PM,12.6,Plot 1
9/27/21 13:30,9/27/21,1:30:00 PM,12.6,Plot 1
9/27/21 14:00,9/27/21,2:00:00 PM,12.35,Plot 1
9/27/21 14:30,9/27/21,2:30:00 PM,12.6,Plot 1
9/27/21 15:00,9/27/21,3:00:00 PM,12.6,Plot 1
9/27/21 15:30,9/27/21,3:30:00 PM,12.35,Plot 1
9/27/21 16:00,9/27/21,4:00:00 PM,12.35,Plot 1
9/27/21 16:30,9/27/21,4:30:00 PM,12.35,Plot 1
9/27/21 17:00,9/27/21,5:00:00 PM,12.35,Plot 1
9/27/21 17:30,9/27/21,5:30:00 PM,12.6,Plot 1
9/27/21 18:00,9/27/21,6:00:00 PM,12.6,Plot 1
9/27/21 18:30,9/27/21,6:30:00 PM,12.35,Plot 1
9/27/21 19:00,9/27/21,7:00:00 PM,12.6,Plot 1
9/27/21 19:30,9/27/21,7:30:00 PM,12.6,Plot 1
9/27/21 20:00,9/27/21,8:00:00 PM,12.6,Plot 1
9/27/21 20:30,9/27/21,8:30:00 PM,12.6,Plot 1
9/27/21 21:00,9/27/21,9:00:00 PM,12.6,Plot 1
9/27/21 21:30,9/27/21,9:30:00 PM,12.6,Plot 1
9/27/21 22:00,9/27/21,10:00:00 PM,12.6,Plot 1
9/27/21 22:30,9/27/21,10:30:00 PM,12.85,Plot 1
9/27/21 23:00,9/27/21,11:00:00 PM,13.1,Plot 1
9/27/21 23:30,9/27/21,11:30:00 PM,12.35,Plot 1
9/28/21 0:00,9/28/21,12:00:00 AM,12.1,Plot 1
9/28/21 0:30,9/28/21,12:30:00 AM,11.85,Plot 1
9/28/21 1:00,9/28/21,1:00:00 AM,11.1,Plot 1
9/28/21 1:30,9/28/21,1:30:00 AM,11.1,Plot 1
9/28/21 2:00,9/28/21,2:00:00 AM,10.6,Plot 1
9/28/21 2:30,9/28/21,2:30:00 AM,10.1,Plot 1
9/28/21 3:00,9/28/21,3:00:00 AM,9.6,Plot 1
9/28/21 3:30,9/28/21,3:30:00 AM,9.1,Plot 1
9/28/21 4:00,9/28/21,4:00:00 AM,9.35,Plot 1
9/28/21 4:30,9/28/21,4:30:00 AM,9.1,Plot 1
9/28/21 5:00,9/28/21,5:00:00 AM,9.1,Plot 1
9/28/21 5:30,9/28/21,5:30:00 AM,9.35,Plot 1
9/28/21 6:00,9/28/21,6:00:00 AM,9.35,Plot 1
9/28/21 6:30,9/28/21,6:30:00 AM,9.1,Plot 1
9/28/21 7:00,9/28/21,7:00:00 AM,9.35,Plot 1
9/28/21 7:30,9/28/21,7:30:00 AM,9.6,Plot 1
9/28/21 8:00,9/28/21,8:00:00 AM,9.85,Plot 1
9/28/21 8:30,9/28/21,8:30:00 AM,10.6,Plot 1
9/28/21 9:00,9/28/21,9:00:00 AM,11.1,Plot 1
9/28/21 9:30,9/28/21,9:30:00 AM,11.6,Plot 1
9/28/21 10:00,9/28/21,10:00:00 AM,12.1,Plot 1
9/28/21 10:30,9/28/21,10:30:00 AM,11.85,Plot 1
9/28/21 11:00,9/28/21,11:00:00 AM,11.6,Plot 1
9/28/21 11:30,9/28/21,11:30:00 AM,11.1,Plot 1
9/28/21 12:00,9/28/21,12:00:00 PM,11.35,Plot 1
9/28/21 12:30,9/28/21,12:30:00 PM,12.35,Plot 1
9/28/21 13:00,9/28/21,1:00:00 PM,12.35,Plot 1
9/28/21 13:30,9/28/21,1:30:00 PM,12.35,Plot 1
9/28/21 14:00,9/28/21,2:00:00 PM,12.6,Plot 1
9/28/21 14:30,9/28/21,2:30:00 PM,12.35,Plot 1
9/28/21 15:00,9/28/21,3:00:00 PM,12.35,Plot 1
9/28/21 15:30,9/28/21,3:30:00 PM,12.35,Plot 1
9/28/21 16:00,9/28/21,4:00:00 PM,11.6,Plot 1
9/28/21 16:30,9/28/21,4:30:00 PM,11.85,Plot 1
9/28/21 17:00,9/28/21,5:00:00 PM,11.1,Plot 1
9/28/21 17:30,9/28/21,5:30:00 PM,10.6,Plot 1
9/28/21 18:00,9/28/21,6:00:00 PM,10.1,Plot 1
9/28/21 18:30,9/28/21,6:30:00 PM,9.1,Plot 1
9/28/21 19:00,9/28/21,7:00:00 PM,8.35,Plot 1
9/28/21 19:30,9/28/21,7:30:00 PM,7.85,Plot 1
9/28/21 20:00,9/28/21,8:00:00 PM,7.6,Plot 1
9/28/21 20:30,9/28/21,8:30:00 PM,7.85,Plot 1
9/28/21 21:00,9/28/21,9:00:00 PM,7.6,Plot 1
9/28/21 21:30,9/28/21,9:30:00 PM,6.35,Plot 1
9/28/21 22:00,9/28/21,10:00:00 PM,5.6,Plot 1
9/28/21 22:30,9/28/21,10:30:00 PM,4.35,Plot 1
9/28/21 23:00,9/28/21,11:00:00 PM,3.85,Plot 1
9/28/21 23:30,9/28/21,11:30:00 PM,3.6,Plot 1
9/29/21 0:00,9/29/21,12:00:00 AM,3.1,Plot 1
9/29/21 0:30,9/29/21,12:30:00 AM,2.05,Plot 1
9/29/21 1:00,9/29/21,1:00:00 AM,1.8,Plot 1
9/29/21 1:30,9/29/21,1:30:00 AM,1.55,Plot 1
9/29/21 2:00,9/29/21,2:00:00 AM,1.3,Plot 1
9/29/21 2:30,9/29/21,2:30:00 AM,0.8,Plot 1
9/29/21 3:00,9/29/21,3:00:00 AM,0.3,Plot 1
9/29/21 3:30,9/29/21,3:30:00 AM,-0.2,Plot 1
9/29/21 4:00,9/29/21,4:00:00 AM,0.05,Plot 1
9/29/21 4:30,9/29/21,4:30:00 AM,-0.2,Plot 1
9/29/21 5:00,9/29/21,5:00:00 AM,-0.2,Plot 1
9/29/21 5:30,9/29/21,5:30:00 AM,0.05,Plot 1
9/29/21 6:00,9/29/21,6:00:00 AM,0.55,Plot 1
9/29/21 6:30,9/29/21,6:30:00 AM,0.8,Plot 1
9/29/21 7:00,9/29/21,7:00:00 AM,0.8,Plot 1
9/29/21 7:30,9/29/21,7:30:00 AM,1.05,Plot 1
9/29/21 8:00,9/29/21,8:00:00 AM,1.8,Plot 1
9/29/21 8:30,9/29/21,8:30:00 AM,2.85,Plot 1
9/29/21 9:00,9/29/21,9:00:00 AM,3.85,Plot 1
9/29/21 9:30,9/29/21,9:30:00 AM,4.6,Plot 1
9/29/21 10:00,9/29/21,10:00:00 AM,4.85,Plot 1
9/29/21 10:30,9/29/21,10:30:00 AM,5.6,Plot 1
9/29/21 11:00,9/29/21,11:00:00 AM,6.1,Plot 1
9/29/21 11:30,9/29/21,11:30:00 AM,6.6,Plot 1
9/29/21 12:00,9/29/21,12:00:00 PM,7.35,Plot 1
9/29/21 12:30,9/29/21,12:30:00 PM,7.85,Plot 1
9/29/21 13:00,9/29/21,1:00:00 PM,8.85,Plot 1
9/29/21 13:30,9/29/21,1:30:00 PM,9.1,Plot 1
9/29/21 14:00,9/29/21,2:00:00 PM,8.6,Plot 1
9/29/21 14:30,9/29/21,2:30:00 PM,8.6,Plot 1
9/29/21 15:00,9/29/21,3:00:00 PM,8.6,Plot 1
9/29/21 15:30,9/29/21,3:30:00 PM,8.6,Plot 1
9/29/21 16:00,9/29/21,4:00:00 PM,8.6,Plot 1
9/29/21 16:30,9/29/21,4:30:00 PM,8.6,Plot 1
9/29/21 17:00,9/29/21,5:00:00 PM,8.6,Plot 1
9/29/21 17:30,9/29/21,5:30:00 PM,8.1,Plot 1
9/29/21 18:00,9/29/21,6:00:00 PM,8.1,Plot 1
9/29/21 18:30,9/29/21,6:30:00 PM,7.85,Plot 1
9/29/21 19:00,9/29/21,7:00:00 PM,7.6,Plot 1
9/29/21 19:30,9/29/21,7:30:00 PM,7.6,Plot 1
9/29/21 20:00,9/29/21,8:00:00 PM,7.35,Plot 1
9/29/21 20:30,9/29/21,8:30:00 PM,7.1,Plot 1
9/29/21 21:00,9/29/21,9:00:00 PM,7.1,Plot 1
9/29/21 21:30,9/29/21,9:30:00 PM,7.1,Plot 1
9/29/21 22:00,9/29/21,10:00:00 PM,7.1,Plot 1
9/29/21 22:30,9/29/21,10:30:00 PM,7.1,Plot 1
9/29/21 23:00,9/29/21,11:00:00 PM,6.85,Plot 1
9/29/21 23:30,9/29/21,11:30:00 PM,6.85,Plot 1
9/30/21 0:00,9/30/21,12:00:00 AM,6.85,Plot 1
9/30/21 0:30,9/30/21,12:30:00 AM,6.85,Plot 1
9/30/21 1:00,9/30/21,1:00:00 AM,6.85,Plot 1
9/30/21 1:30,9/30/21,1:30:00 AM,6.85,Plot 1
9/30/21 2:00,9/30/21,2:00:00 AM,6.85,Plot 1
9/30/21 2:30,9/30/21,2:30:00 AM,6.6,Plot 1
9/30/21 3:00,9/30/21,3:00:00 AM,6.6,Plot 1
9/30/21 3:30,9/30/21,3:30:00 AM,6.6,Plot 1
9/30/21 4:00,9/30/21,4:00:00 AM,6.6,Plot 1
9/30/21 4:30,9/30/21,4:30:00 AM,6.6,Plot 1
9/30/21 5:00,9/30/21,5:00:00 AM,6.6,Plot 1
9/30/21 5:30,9/30/21,5:30:00 AM,6.6,Plot 1
9/30/21 6:00,9/30/21,6:00:00 AM,6.6,Plot 1
9/30/21 6:30,9/30/21,6:30:00 AM,6.6,Plot 1
9/30/21 7:00,9/30/21,7:00:00 AM,6.6,Plot 1
9/30/21 7:30,9/30/21,7:30:00 AM,6.85,Plot 1
9/30/21 8:00,9/30/21,8:00:00 AM,7.1,Plot 1
9/30/21 8:30,9/30/21,8:30:00 AM,7.35,Plot 1
9/30/21 9:00,9/30/21,9:00:00 AM,7.35,Plot 1
9/30/21 9:30,9/30/21,9:30:00 AM,7.6,Plot 1
9/30/21 10:00,9/30/21,10:00:00 AM,8.1,Plot 1
9/30/21 10:30,9/30/21,10:30:00 AM,8.35,Plot 1
9/30/21 11:00,9/30/21,11:00:00 AM,8.1,Plot 1
9/30/21 11:30,9/30/21,11:30:00 AM,8.1,Plot 1
9/30/21 12:00,9/30/21,12:00:00 PM,8.1,Plot 1
9/30/21 12:30,9/30/21,12:30:00 PM,8.1,Plot 1
9/30/21 13:00,9/30/21,1:00:00 PM,8.1,Plot 1
9/30/21 13:30,9/30/21,1:30:00 PM,8.1,Plot 1
9/30/21 14:00,9/30/21,2:00:00 PM,8.85,Plot 1
9/30/21 14:30,9/30/21,2:30:00 PM,8.6,Plot 1
9/30/21 15:00,9/30/21,3:00:00 PM,8.6,Plot 1
9/30/21 15:30,9/30/21,3:30:00 PM,8.85,Plot 1
9/30/21 16:00,9/30/21,4:00:00 PM,8.85,Plot 1
9/30/21 16:30,9/30/21,4:30:00 PM,9.1,Plot 1
9/30/21 17:00,9/30/21,5:00:00 PM,8.6,Plot 1
9/30/21 17:30,9/30/21,5:30:00 PM,8.35,Plot 1
9/30/21 18:00,9/30/21,6:00:00 PM,7.85,Plot 1
9/30/21 18:30,9/30/21,6:30:00 PM,7.85,Plot 1
9/30/21 19:00,9/30/21,7:00:00 PM,7.6,Plot 1
9/30/21 19:30,9/30/21,7:30:00 PM,6.6,Plot 1
9/30/21 20:00,9/30/21,8:00:00 PM,6.1,Plot 1
9/30/21 20:30,9/30/21,8:30:00 PM,6.1,Plot 1
9/30/21 21:00,9/30/21,9:00:00 PM,5.35,Plot 1
9/30/21 21:30,9/30/21,9:30:00 PM,5.1,Plot 1
9/30/21 22:00,9/30/21,10:00:00 PM,4.1,Plot 1
9/30/21 22:30,9/30/21,10:30:00 PM,3.6,Plot 1
9/30/21 23:00,9/30/21,11:00:00 PM,3.1,Plot 1
9/30/21 23:30,9/30/21,11:30:00 PM,2.85,Plot 1
10/1/21 0:00,10/1/21,12:00:00 AM,2.3,Plot 1
10/1/21 0:30,10/1/21,12:30:00 AM,2.05,Plot 1
10/1/21 1:00,10/1/21,1:00:00 AM,2.3,Plot 1
10/1/21 1:30,10/1/21,1:30:00 AM,2.05,Plot 1
10/1/21 2:00,10/1/21,2:00:00 AM,1.55,Plot 1
10/1/21 2:30,10/1/21,2:30:00 AM,1.55,Plot 1
10/1/21 3:00,10/1/21,3:00:00 AM,1.8,Plot 1
10/1/21 3:30,10/1/21,3:30:00 AM,1.55,Plot 1
10/1/21 4:00,10/1/21,4:00:00 AM,1.55,Plot 1
10/1/21 4:30,10/1/21,4:30:00 AM,1.55,Plot 1
10/1/21 5:00,10/1/21,5:00:00 AM,2.05,Plot 1
10/1/21 5:30,10/1/21,5:30:00 AM,2.05,Plot 1
10/1/21 6:00,10/1/21,6:00:00 AM,1.55,Plot 1
10/1/21 6:30,10/1/21,6:30:00 AM,2.05,Plot 1
10/1/21 7:00,10/1/21,7:00:00 AM,2.3,Plot 1
10/1/21 7:30,10/1/21,7:30:00 AM,2.85,Plot 1
10/1/21 8:00,10/1/21,8:00:00 AM,2.85,Plot 1
10/1/21 8:30,10/1/21,8:30:00 AM,3.6,Plot 1
10/1/21 9:00,10/1/21,9:00:00 AM,4.6,Plot 1
10/1/21 9:30,10/1/21,9:30:00 AM,6.1,Plot 1
10/1/21 10:00,10/1/21,10:00:00 AM,7.6,Plot 1
10/1/21 10:30,10/1/21,10:30:00 AM,8.1,Plot 1
10/1/21 11:00,10/1/21,11:00:00 AM,9.6,Plot 1
10/1/21 11:30,10/1/21,11:30:00 AM,9.85,Plot 1
10/1/21 12:00,10/1/21,12:00:00 PM,10.6,Plot 1
10/1/21 12:30,10/1/21,12:30:00 PM,10.1,Plot 1
10/1/21 13:00,10/1/21,1:00:00 PM,10.35,Plot 1
10/1/21 13:30,10/1/21,1:30:00 PM,10.1,Plot 1
10/1/21 14:00,10/1/21,2:00:00 PM,11.1,Plot 1
10/1/21 14:30,10/1/21,2:30:00 PM,10.6,Plot 1
10/1/21 15:00,10/1/21,3:00:00 PM,11.1,Plot 1
10/1/21 15:30,10/1/21,3:30:00 PM,11.1,Plot 1
10/1/21 16:00,10/1/21,4:00:00 PM,11.1,Plot 1
10/1/21 16:30,10/1/21,4:30:00 PM,11.1,Plot 1
10/1/21 17:00,10/1/21,5:00:00 PM,11.1,Plot 1
10/1/21 17:30,10/1/21,5:30:00 PM,10.6,Plot 1
10/1/21 18:00,10/1/21,6:00:00 PM,9.85,Plot 1
10/1/21 18:30,10/1/21,6:30:00 PM,9.1,Plot 1
10/1/21 19:00,10/1/21,7:00:00 PM,8.6,Plot 1
10/1/21 19:30,10/1/21,7:30:00 PM,8.6,Plot 1
10/1/21 20:00,10/1/21,8:00:00 PM,8.1,Plot 1
10/1/21 20:30,10/1/21,8:30:00 PM,8.1,Plot 1
10/1/21 21:00,10/1/21,9:00:00 PM,8.35,Plot 1
10/1/21 21:30,10/1/21,9:30:00 PM,8.1,Plot 1
10/1/21 22:00,10/1/21,10:00:00 PM,8.1,Plot 1
10/1/21 22:30,10/1/21,10:30:00 PM,8.1,Plot 1
10/1/21 23:00,10/1/21,11:00:00 PM,7.85,Plot 1
10/1/21 23:30,10/1/21,11:30:00 PM,7.85,Plot 1
10/2/21 0:00,10/2/21,12:00:00 AM,7.85,Plot 1
10/2/21 0:30,10/2/21,12:30:00 AM,8.1,Plot 1
10/2/21 1:00,10/2/21,1:00:00 AM,7.85,Plot 1
10/2/21 1:30,10/2/21,1:30:00 AM,7.85,Plot 1
10/2/21 2:00,10/2/21,2:00:00 AM,7.85,Plot 1
10/2/21 2:30,10/2/21,2:30:00 AM,7.6,Plot 1
10/2/21 3:00,10/2/21,3:00:00 AM,7.6,Plot 1
10/2/21 3:30,10/2/21,3:30:00 AM,7.6,Plot 1
10/2/21 4:00,10/2/21,4:00:00 AM,7.85,Plot 1
10/2/21 4:30,10/2/21,4:30:00 AM,7.85,Plot 1
10/2/21 5:00,10/2/21,5:00:00 AM,7.85,Plot 1
10/2/21 5:30,10/2/21,5:30:00 AM,7.6,Plot 1
10/2/21 6:00,10/2/21,6:00:00 AM,7.6,Plot 1
10/2/21 6:30,10/2/21,6:30:00 AM,7.6,Plot 1
10/2/21 7:00,10/2/21,7:00:00 AM,7.85,Plot 1
10/2/21 7:30,10/2/21,7:30:00 AM,7.85,Plot 1
10/2/21 8:00,10/2/21,8:00:00 AM,8.1,Plot 1
10/2/21 8:30,10/2/21,8:30:00 AM,8.35,Plot 1
10/2/21 9:00,10/2/21,9:00:00 AM,8.6,Plot 1
10/2/21 9:30,10/2/21,9:30:00 AM,8.6,Plot 1
10/2/21 10:00,10/2/21,10:00:00 AM,8.85,Plot 1
10/2/21 10:30,10/2/21,10:30:00 AM,9.1,Plot 1
10/2/21 11:00,10/2/21,11:00:00 AM,9.1,Plot 1
10/2/21 11:30,10/2/21,11:30:00 AM,9.1,Plot 1
10/2/21 12:00,10/2/21,12:00:00 PM,9.1,Plot 1
10/2/21 12:30,10/2/21,12:30:00 PM,9.1,Plot 1
10/2/21 13:00,10/2/21,1:00:00 PM,9.1,Plot 1
10/2/21 13:30,10/2/21,1:30:00 PM,9.35,Plot 1
10/2/21 14:00,10/2/21,2:00:00 PM,9.35,Plot 1
10/2/21 14:30,10/2/21,2:30:00 PM,9.6,Plot 1
10/2/21 15:00,10/2/21,3:00:00 PM,9.6,Plot 1
10/2/21 15:30,10/2/21,3:30:00 PM,9.6,Plot 1
10/2/21 16:00,10/2/21,4:00:00 PM,9.85,Plot 1
10/2/21 16:30,10/2/21,4:30:00 PM,9.85,Plot 1
10/2/21 17:00,10/2/21,5:00:00 PM,10.1,Plot 1
10/2/21 17:30,10/2/21,5:30:00 PM,10.1,Plot 1
10/2/21 18:00,10/2/21,6:00:00 PM,10.1,Plot 1
10/2/21 18:30,10/2/21,6:30:00 PM,10.1,Plot 1
10/2/21 19:00,10/2/21,7:00:00 PM,10.1,Plot 1
10/2/21 19:30,10/2/21,7:30:00 PM,10.1,Plot 1
10/2/21 20:00,10/2/21,8:00:00 PM,9.85,Plot 1
10/2/21 20:30,10/2/21,8:30:00 PM,9.85,Plot 1
10/2/21 21:00,10/2/21,9:00:00 PM,9.85,Plot 1
10/2/21 21:30,10/2/21,9:30:00 PM,9.85,Plot 1
10/2/21 22:00,10/2/21,10:00:00 PM,9.85,Plot 1
10/2/21 22:30,10/2/21,10:30:00 PM,9.85,Plot 1
10/2/21 23:00,10/2/21,11:00:00 PM,9.85,Plot 1
10/2/21 23:30,10/2/21,11:30:00 PM,9.85,Plot 1
10/3/21 0:00,10/3/21,12:00:00 AM,9.85,Plot 1
10/3/21 0:30,10/3/21,12:30:00 AM,9.85,Plot 1
10/3/21 1:00,10/3/21,1:00:00 AM,9.85,Plot 1
10/3/21 1:30,10/3/21,1:30:00 AM,9.85,Plot 1
10/3/21 2:00,10/3/21,2:00:00 AM,9.85,Plot 1
10/3/21 2:30,10/3/21,2:30:00 AM,9.85,Plot 1
10/3/21 3:00,10/3/21,3:00:00 AM,9.85,Plot 1
10/3/21 3:30,10/3/21,3:30:00 AM,9.85,Plot 1
10/3/21 4:00,10/3/21,4:00:00 AM,9.85,Plot 1
10/3/21 4:30,10/3/21,4:30:00 AM,10.1,Plot 1
10/3/21 5:00,10/3/21,5:00:00 AM,10.1,Plot 1
10/3/21 5:30,10/3/21,5:30:00 AM,10.1,Plot 1
10/3/21 6:00,10/3/21,6:00:00 AM,10.1,Plot 1
10/3/21 6:30,10/3/21,6:30:00 AM,10.1,Plot 1
